{大榕树}=>{漓江} 置信度:0.903647
{大榕树}=>{西街} 置信度:0.876973
{独秀峰}=>{漓江} 置信度:0.932741
{冠岩}=>{漓江} 置信度:0.956652
{蝴蝶泉}=>{漓江} 置信度:0.913641
{蝴蝶泉}=>{西街} 置信度:0.911678
{两江四湖}=>{漓江} 置信度:0.949515
{龙脊梯田}=>{漓江} 置信度:0.880376
{世外桃源}=>{漓江} 置信度:0.902663
{西街}=>{漓江} 置信度:0.888531
{象鼻山}=>{漓江} 置信度:0.953713
{银子岩}=>{漓江} 置信度:0.944444
{印象刘三姐}=>{漓江} 置信度:0.960403
{遇龙河}=>{漓江} 置信度:0.909218
{月亮山}=>{漓江} 置信度:0.910763
{两江四湖}=>{西街} 置信度:0.840129
{世外桃源}=>{西街} 置信度:0.813590
{银子岩}=>{西街} 置信度:0.887037
{印象刘三姐}=>{西街} 置信度:0.907127
{遇龙河}=>{西街} 置信度:0.874651
{月亮山}=>{西街} 置信度:0.878853
{银子岩}=>{遇龙河} 置信度:0.810494
{印象刘三姐}=>{遇龙河} 置信度:0.823614
{大榕树,蝴蝶泉}=>{漓江} 置信度:0.933333
{大榕树,蝴蝶泉}=>{西街} 置信度:0.935948
{大榕树,蝴蝶泉}=>{遇龙河} 置信度:0.858824
{蝴蝶泉,遇龙河}=>{大榕树} 置信度:0.812114
{大榕树,蝴蝶泉}=>{月亮山} 置信度:0.824837
{蝴蝶泉,月亮山}=>{大榕树} 置信度:0.883753
{大榕树,两江四湖}=>{漓江} 置信度:0.975749
{大榕树}=>{漓江,西街} 置信度:0.806750
{大榕树,漓江}=>{西街} 置信度:0.892771
{大榕树,西街}=>{漓江} 置信度:0.919926
{大榕树,象鼻山}=>{漓江} 置信度:0.975638
{大榕树,银子岩}=>{漓江} 置信度:0.967617
{大榕树,印象刘三姐}=>{漓江} 置信度:0.975035
{大榕树,遇龙河}=>{漓江} 置信度:0.946269
{大榕树,月亮山}=>{漓江} 置信度:0.920682
{大榕树,两江四湖}=>{西街} 置信度:0.927247
{大榕树,象鼻山}=>{西街} 置信度:0.901392
{大榕树,银子岩}=>{西街} 置信度:0.926166
{大榕树,印象刘三姐}=>{西街} 置信度:0.940361
{大榕树,遇龙河}=>{西街} 置信度:0.926866
{大榕树,月亮山}=>{西街} 置信度:0.905856
{大榕树,银子岩}=>{遇龙河} 置信度:0.875648
{大榕树,印象刘三姐}=>{遇龙河} 置信度:0.880721
{蝴蝶泉}=>{漓江,西街} 置信度:0.847890
{蝴蝶泉,漓江}=>{西街} 置信度:0.928034
{蝴蝶泉,西街}=>{漓江} 置信度:0.930032
{蝴蝶泉,漓江}=>{遇龙河} 置信度:0.824919
{蝴蝶泉,遇龙河}=>{漓江} 置信度:0.949320
{蝴蝶泉,月亮山}=>{漓江} 置信度:0.946779
{蝴蝶泉,西街}=>{遇龙河} 置信度:0.814855
{蝴蝶泉,遇龙河}=>{西街} 置信度:0.935723
{蝴蝶泉,月亮山}=>{西街} 置信度:0.945378
{两江四湖,龙脊梯田}=>{漓江} 置信度:0.973333
{两江四湖}=>{漓江,西街} 置信度:0.812945
{漓江,两江四湖}=>{西街} 置信度:0.856169
{两江四湖,西街}=>{漓江} 置信度:0.967643
{两江四湖,象鼻山}=>{漓江} 置信度:0.971202
{两江四湖,银子岩}=>{漓江} 置信度:0.982434
{两江四湖,印象刘三姐}=>{漓江} 置信度:0.989630
{两江四湖,遇龙河}=>{漓江} 置信度:0.980496
